"","group","date","in_cases","out_cases"
"1","CAZ",2020-02-15,1,1.026
"2","CAZ",2020-02-16,0.99,1.06
"3","CAZ",2020-02-17,1.05,1.034
"4","CAZ",2020-02-18,1,1.044
"5","CAZ",2020-02-19,1,1.046
"6","CAZ",2020-02-20,1,1.058
"7","CAZ",2020-02-21,1,1.044
"8","CAZ",2020-02-22,1.03,0.88
"9","CAZ",2020-02-23,0.99,1.048
"10","CAZ",2020-02-24,1,1.058
"11","CAZ",2020-02-25,1,1.056
"12","CAZ",2020-02-26,0.99,1.068
"13","CAZ",2020-02-27,0.99,1.072
"14","CAZ",2020-02-28,0.99,1.074
"15","CAZ",2020-02-29,0.98,1.082
"16","CAZ",2020-03-01,0.98,1.11
"17","CAZ",2020-03-02,1,1.052
"18","CAZ",2020-03-03,0.99,1.074
"19","CAZ",2020-03-04,0.99,1.074
"20","CAZ",2020-03-05,0.99,1.078
"21","CAZ",2020-03-06,1,1.082
"22","CAZ",2020-03-07,0.99,1.074
"23","CAZ",2020-03-08,0.98,1.086
"24","CAZ",2020-03-09,1.01,1.058
"25","CAZ",2020-03-10,1.02,0.992
"26","CAZ",2020-03-11,1.04,0.918
"27","CAZ",2020-03-12,1.05,0.95
"28","CAZ",2020-03-13,1.05,0.95
"29","CAZ",2020-03-14,1.02,0.996
"30","CAZ",2020-03-15,1.01,1.014
"31","CAZ",2020-03-16,1.06,0.99
"32","CAZ",2020-03-17,1.09,0.956
"33","CAZ",2020-03-18,1.13,0.766
"34","CAZ",2020-03-19,1.14,0.84
"35","CAZ",2020-03-20,1.15,0.824
"36","CAZ",2020-03-21,1.1,0.798
"37","CAZ",2020-03-22,1.09,0.774
"38","CAZ",2020-03-23,1.15,0.776
"39","CAZ",2020-03-24,1.16,0.768
"40","CAZ",2020-03-25,1.17,0.74
"41","CAZ",2020-03-26,1.18,0.738
"42","CAZ",2020-03-27,1.19,0.702
"43","CAZ",2020-03-28,1.12,0.706
"44","CAZ",2020-03-29,1.1,0.718
"45","CAZ",2020-03-30,1.16,0.754
"46","CAZ",2020-03-31,1.18,0.71
"47","CAZ",2020-04-01,1.19,0.668
"48","CAZ",2020-04-02,1.2,0.676
"49","CAZ",2020-04-03,1.21,0.668
"50","CAZ",2020-04-04,1.14,0.64
"51","CAZ",2020-04-05,1.11,0.642
"52","CAZ",2020-04-06,1.18,0.674
"53","CAZ",2020-04-07,1.19,0.676
"54","CAZ",2020-04-08,1.19,0.652
"55","CAZ",2020-04-09,1.2,0.682
"56","CAZ",2020-04-10,1.22,0.668
"57","CAZ",2020-04-11,1.14,0.642
"58","CAZ",2020-04-12,1.1,0.588
"59","CAZ",2020-04-13,1.18,0.662
"60","CAZ",2020-04-14,1.19,0.686
"61","CAZ",2020-04-15,1.18,0.702
"62","CAZ",2020-04-16,1.19,0.7
"63","CAZ",2020-04-17,1.2,0.68
"64","CAZ",2020-04-18,1.13,0.682
"65","CAZ",2020-04-19,1.1,0.686
"66","CAZ",2020-04-20,1.17,0.698
"67","CAZ",2020-04-21,1.19,0.7
"68","CAZ",2020-04-22,1.18,0.694
"69","CAZ",2020-04-23,1.19,0.688
"70","CAZ",2020-04-24,1.2,0.674
"71","CAZ",2020-04-25,1.12,0.67
"72","CAZ",2020-04-26,1.09,0.666
"73","CAZ",2020-04-27,1.17,0.688
"74","CAZ",2020-04-28,1.11,0.694
"75","CAZ",2020-04-29,1.18,0.684
"76","CAZ",2020-04-30,1.18,0.704
"77","CAZ",2020-05-01,1.19,0.71
"78","CAZ",2020-05-02,1.11,0.692
"79","CAZ",2020-05-03,1.08,0.706
"80","CAZ",2020-05-04,1.16,0.718
"81","CAZ",2020-05-05,1.17,0.73
"82","CAZ",2020-05-06,1.17,0.706
"83","CAZ",2020-05-07,1.17,0.714
"84","CAZ",2020-05-08,1.18,0.726
"85","CAZ",2020-05-09,1.1,0.734
"86","CAZ",2020-05-10,1.06,0.756
"87","CAZ",2020-05-11,1.15,0.724
"88","CAZ",2020-05-12,1.16,0.742
"89","CAZ",2020-05-13,1.16,0.75
"90","CAZ",2020-05-14,1.16,0.756
"91","CAZ",2020-05-15,1.16,0.74
"92","CAZ",2020-05-16,1.08,0.746
"93","CAZ",2020-05-17,1.06,0.76
"94","CAZ",2020-05-18,1.14,0.766
"95","CAZ",2020-05-19,1.14,0.784
"96","CAZ",2020-05-20,1.14,0.814
"97","CAZ",2020-05-21,1.14,0.81
"98","CAZ",2020-05-22,1.14,0.786
"99","CAZ",2020-05-23,1.07,0.78
"100","CAZ",2020-05-24,1.04,0.812
"101","CAZ",2020-05-25,1.19,0.736
"102","CAZ",2020-05-26,1.14,0.772
"103","CAZ",2020-05-27,1.14,0.768
"104","CAZ",2020-05-28,1.14,0.772
"105","CAZ",2020-05-29,1.15,0.746
"106","CAZ",2020-05-30,1.07,0.762
"107","CAZ",2020-05-31,1.06,0.76
"108","CAZ",2020-06-01,1.13,0.75
"109","CAZ",2020-06-02,1.14,0.748
"110","CAZ",2020-06-03,1.14,0.746
"111","CAZ",2020-06-04,1.14,0.748
"112","CAZ",2020-06-05,1.14,0.742
"113","CAZ",2020-06-06,1.06,0.784
"114","CAZ",2020-06-07,1.05,0.8
"115","CAZ",2020-06-08,1.12,0.81
"116","CAZ",2020-06-09,1.13,0.796
"117","CAZ",2020-06-10,1.13,0.77
"118","CAZ",2020-06-11,1.13,0.772
"119","CAZ",2020-06-12,1.13,0.746
"120","CAZ",2020-06-13,1.06,0.778
"121","CAZ",2020-06-14,1.04,0.784
"122","CAZ",2020-06-15,1.12,0.764
"123","CAZ",2020-06-16,1.13,0.77
"124","CAZ",2020-06-17,1.13,0.766
"125","CAZ",2020-06-18,1.13,0.772
"126","CAZ",2020-06-19,1.13,0.75
"127","CAZ",2020-06-20,1.07,0.762
"128","CAZ",2020-06-21,1.04,0.76
"129","CAZ",2020-06-22,1.13,0.728
"130","CAZ",2020-06-23,1.14,0.742
"131","CAZ",2020-06-24,1.13,0.738
"132","CAZ",2020-06-25,1.14,0.746
"133","CAZ",2020-06-26,1.15,0.718
"134","CAZ",2020-06-27,1.08,0.734
"135","CAZ",2020-06-28,1.06,0.744
"136","CAZ",2020-06-29,1.13,0.748
"137","CAZ",2020-06-30,1.14,0.748
"138","CAZ",2020-07-01,1.14,0.746
"139","CAZ",2020-07-02,1.14,0.766
"140","CAZ",2020-07-03,1.19,0.7
"141","CAZ",2020-07-04,1.11,0.632
"142","CAZ",2020-07-05,1.07,0.666
"143","CAZ",2020-07-06,1.14,0.714
"144","CAZ",2020-07-07,1.15,0.724
"145","CAZ",2020-07-08,1.15,0.714
"146","CAZ",2020-07-09,1.15,0.714
"147","CAZ",2020-07-10,1.16,0.686
"148","CAZ",2020-07-11,1.09,0.682
"149","CAZ",2020-07-12,1.07,0.682
"150","CAZ",2020-07-13,1.14,0.692
"151","CAZ",2020-07-14,1.15,0.704
"152","CAZ",2020-07-15,1.14,0.704
"153","CAZ",2020-07-16,1.15,0.706
"154","CAZ",2020-07-17,1.15,0.694
"155","CAZ",2020-07-18,1.09,0.698
"156","CAZ",2020-07-19,1.06,0.718
"157","CAZ",2020-07-20,1.13,0.734
"158","CAZ",2020-07-21,1.14,0.72
"159","CAZ",2020-07-22,1.14,0.712
"160","CAZ",2020-07-23,1.14,0.734
"161","CAZ",2020-07-24,1.15,0.696
"162","CAZ",2020-07-25,1.08,0.716
"163","CAZ",2020-07-26,1.05,0.726
"164","CAZ",2020-07-27,1.13,0.716
"165","CAZ",2020-07-28,1.14,0.712
"166","CAZ",2020-07-29,1.14,0.704
"167","CAZ",2020-07-30,1.14,0.708
"168","CAZ",2020-07-31,1.14,0.696
"169","CAZ",2020-08-01,1.08,0.704
"170","CAZ",2020-08-02,1.05,0.724
"171","CAZ",2020-08-03,1.13,0.714
"172","CAZ",2020-08-04,1.14,0.728
"173","CAZ",2020-08-05,1.14,0.712
"174","CAZ",2020-08-06,1.14,0.72
"175","CAZ",2020-08-07,1.14,0.7
"176","CAZ",2020-08-08,1.07,0.72
"177","CAZ",2020-08-09,1.05,0.724
"178","CAZ",2020-08-10,1.13,0.706
"179","CAZ",2020-08-11,1.14,0.712
"180","CAZ",2020-08-12,1.14,0.702
"181","CAZ",2020-08-13,1.14,0.704
"182","CAZ",2020-08-14,1.14,0.69
"183","CAZ",2020-08-15,1.07,0.712
"184","CAZ",2020-08-16,1.05,0.71
"185","CAZ",2020-08-17,1.13,0.686
"186","CAZ",2020-08-18,1.14,0.704
"187","CAZ",2020-08-19,1.13,0.694
"188","CAZ",2020-08-20,1.13,0.698
"189","CAZ",2020-08-21,1.13,0.708
"190","CAZ",2020-08-22,1.07,0.72
"191","CAZ",2020-08-23,1.04,0.724
"192","CAZ",2020-08-24,1.12,0.69
"193","CAZ",2020-08-25,1.13,0.706
"194","CAZ",2020-08-26,1.13,0.704
"195","CAZ",2020-08-27,1.13,0.71
"196","CAZ",2020-08-28,1.13,0.704
"197","CAZ",2020-08-29,1.06,0.722
"198","CAZ",2020-08-30,1.04,0.742
"199","CAZ",2020-08-31,1.11,0.726
"200","CAZ",2020-09-01,1.12,0.74
"201","CAZ",2020-09-02,1.12,0.73
"202","CAZ",2020-09-03,1.12,0.742
"203","CAZ",2020-09-04,1.12,0.714
"204","CAZ",2020-09-05,1.05,0.702
"205","CAZ",2020-09-06,1.03,0.722
"206","CAZ",2020-09-07,1.17,0.642
"207","CAZ",2020-09-08,1.12,0.726
"208","CAZ",2020-09-09,1.11,0.752
"209","CAZ",2020-09-10,1.12,0.756
"210","CAZ",2020-09-11,1.12,0.742
"211","CAZ",2020-09-12,1.05,0.766
"212","CAZ",2020-09-13,1.04,0.766
"213","CAZ",2020-09-14,1.11,0.734
"214","CAZ",2020-09-15,1.12,0.74
"215","CAZ",2020-09-16,1.11,0.73
"216","CAZ",2020-09-17,1.12,0.738
"217","CAZ",2020-09-18,1.12,0.728
"218","CAZ",2020-09-19,1.05,0.756
"219","CAZ",2020-09-20,1.03,0.766
"220","CAZ",2020-09-21,1.11,0.734
"221","CAZ",2020-09-22,1.12,0.734
"222","CAZ",2020-09-23,1.11,0.72
"223","CAZ",2020-09-24,1.12,0.728
"224","CAZ",2020-09-25,1.12,0.724
"225","CAZ",2020-09-26,1.05,0.754
"226","CAZ",2020-09-27,1.03,0.758
"227","CAZ",2020-09-28,1.11,0.728
"228","CAZ",2020-09-29,1.12,0.732
"229","CAZ",2020-09-30,1.11,0.736
"230","CAZ",2020-10-01,1.11,0.758
"231","CAZ",2020-10-02,1.11,0.748
"232","CAZ",2020-10-03,1.05,0.772
"233","CAZ",2020-10-04,1.03,0.776
"234","CAZ",2020-10-05,1.1,0.74
"235","CAZ",2020-10-06,1.11,0.744
"236","CAZ",2020-10-07,1.1,0.744
"237","CAZ",2020-10-08,1.11,0.76
"238","CAZ",2020-10-09,1.11,0.746
"239","CAZ",2020-10-10,1.04,0.786
"240","CAZ",2020-10-11,1.03,0.794
"241","CAZ",2020-10-12,1.11,0.756
"242","CAZ",2020-10-13,1.11,0.76
